squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
20883,56,0,0.0,54.0,85377,5.0,9,2018.0,0.0,0,9982,8142.0,670.0,1,10.0,2091505.8
95121,46,0,1.0,3.0,9382,7.0,9,,0.0,0,615,1221.0,328.0,0,10.0,9515440.4
6071,72,1,0.0,14.0,8410,2.0,6,,1.0,1,3306,,295.0,0,2.0,612471.3
11844,43,0,0.0,55.0,46144,,5,1993.0,1.0,0,5292,8233.0,395.0,0,10.0,1189939.3
52078,7,1,1.0,73.0,20372,10.0,4,2016.0,1.0,1,1864,2049.0,558.0,0,5.0,5217708.6
25897,98,1,0.0,92.0,20344,,4,,,1,9799,9569.0,116.0,1,10.0,2598763.3
85443,40,1,1.0,54.0,339,,1,2021.0,1.0,0,3056,8928.0,292.0,1,,8555234.1
11412,78,0,0.0,79.0,73807,1.0,5,,1.0,1,6899,8997.0,695.0,0,0.0,1145642.9
97550,89,1,1.0,98.0,78155,2.0,5,2014.0,1.0,0,5391,897.0,388.0,0,,9765099.4
76485,47,1,0.0,9.0,90254,2.0,9,2008.0,1.0,0,2860,3129.0,982.0,0,1.0,7653300.8
26169,29,0,0.0,62.0,66489,,7,1993.0,0.0,1,7918,187.0,919.0,1,9.0,2622399.3
24239,87,1,0.0,91.0,73056,4.0,7,1998.0,0.0,0,6656,7149.0,698.0,0,3.0,2427801.8
36239,8,0,1.0,24.0,66771,,6,,0.0,1,6679,6528.0,798.0,1,5.0,3627708.0
10500,88,0,1.0,49.0,10533,10.0,1,2013.0,,1,4170,5501.0,422.0,0,5.0,1057021.3
87060,27,0,1.0,91.0,51803,8.0,10,2000.0,0.0,0,6629,435.0,512.0,0,7.0,8711426.0
66683,19,1,1.0,6.0,50801,6.0,2,2001.0,0.0,0,7473,796.0,237.0,1,3.0,6677649.1
66569,59,1,1.0,56.0,15574,7.0,9,2016.0,1.0,1,2020,7188.0,269.0,1,,6667802.6
84559,29,0,1.0,69.0,53057,7.0,7,,,0,3573,9556.0,918.0,1,8.0,8460604.0
28749,39,0,1.0,53.0,80821,6.0,5,1996.0,1.0,0,8113,2352.0,982.0,1,3.0,2877997.6
76091,38,1,0.0,32.0,59451,,8,2016.0,,0,8150,6037.0,930.0,0,7.0,7614076.6
92696,49,1,0.0,38.0,74381,,2,2021.0,0.0,0,1559,5111.0,957.0,1,2.0,9272740.1
46988,66,1,1.0,27.0,4863,,10,1991.0,1.0,1,8339,6331.0,874.0,1,,4707341.1
48062,22,0,1.0,4.0,28104,1.0,10,,1.0,0,7908,552.0,817.0,1,,4809993.8
5767,97,1,1.0,11.0,44551,7.0,3,,1.0,0,2516,5601.0,307.0,1,4.0,586742.8
59800,47,0,1.0,27.0,44815,6.0,9,2021.0,0.0,0,5075,3104.0,864.0,0,,5984462.1
54836,25,0,,53.0,64601,,5,,1.0,0,5278,1059.0,313.0,1,6.0,5492532.0
54318,10,1,1.0,52.0,76737,,2,1998.0,1.0,1,9580,3787.0,227.0,1,,5444967.8
70021,52,1,0.0,28.0,95678,4.0,6,1992.0,,1,4480,6919.0,680.0,1,1.0,7005572.2
54368,11,1,1.0,20.0,55761,3.0,7,2021.0,0.0,0,231,1939.0,223.0,0,8.0,5446398.1
31421,29,0,1.0,68.0,67505,5.0,3,1999.0,1.0,1,8949,2080.0,630.0,0,5.0,3147829.9
63053,6,1,1.0,28.0,45312,3.0,1,1997.0,,1,8414,6270.0,939.0,1,,6315375.7
4187,89,0,1.0,17.0,7488,,6,1994.0,1.0,0,186,2627.0,559.0,1,2.0,421906.4
33108,82,0,1.0,,52015,6.0,10,2016.0,1.0,0,6250,8751.0,552.0,1,2.0,3316069.6
64393,8,0,0.0,51.0,95335,,1,,1.0,0,3835,2403.0,559.0,0,6.0,6441378.0
93876,60,0,1.0,70.0,5484,2.0,1,,,1,4086,5991.0,494.0,1,8.0,9390891.9
67040,60,1,1.0,22.0,1690,,8,1993.0,,0,4817,5222.0,927.0,0,,6714247.3
47938,17,0,0.0,68.0,64247,,1,2013.0,0.0,1,327,,352.0,1,,4797883.3
39090,57,1,0.0,74.0,2922,,9,2010.0,0.0,0,3572,8722.0,811.0,1,,3917691.0
43609,66,0,0.0,55.0,6739,,9,2005.0,0.0,1,3388,2353.0,120.0,1,,4364910.5
41998,74,1,0.0,17.0,32039,6.0,1,1990.0,1.0,0,6838,4925.0,828.0,0,,4203344.0
36496,9,0,1.0,47.0,51526,,1,,0.0,1,2768,6291.0,230.0,1,0.0,3656368.7
84016,15,1,0.0,55.0,63595,1.0,7,2016.0,1.0,0,3284,9879.0,641.0,0,2.0,8410054.6
3087,27,1,1.0,94.0,9283,,10,,1.0,1,5866,3557.0,199.0,1,,321717.5
89768,48,1,1.0,17.0,71000,6.0,9,1993.0,0.0,1,2485,108.0,864.0,0,,8980518.3
30226,74,1,1.0,87.0,71053,10.0,9,2007.0,0.0,0,515,13.0,223.0,0,,3039243.7
58478,5,0,1.0,35.0,5898,6.0,10,2016.0,,0,8366,4799.0,979.0,1,,5853710.6
66621,48,0,0.0,89.0,52165,,1,1995.0,,1,5024,8103.0,388.0,1,4.0,6666403.5
73314,43,0,1.0,38.0,49895,10.0,1,2018.0,,1,3281,,968.0,0,8.0,7336538.8
59972,28,0,1.0,18.0,32083,9.0,8,2021.0,1.0,1,8384,7226.0,226.0,1,,6000826.1
71591,20,1,0.0,58.0,46834,7.0,4,1998.0,0.0,0,6486,3310.0,366.0,0,0.0,7165980.8
92462,52,1,1.0,46.0,22405,,6,,1.0,0,9584,8587.0,677.0,0,,9257840.9
52325,60,1,1.0,24.0,76804,6.0,5,1992.0,1.0,0,8987,3149.0,808.0,1,,5238533.2
67311,67,0,0.0,10.0,45626,,3,1990.0,1.0,1,6928,7808.0,774.0,1,,6732249.0
45050,99,0,1.0,87.0,20318,4.0,8,,1.0,0,5218,8217.0,144.0,0,3.0,4508695.3
61534,73,1,0.0,97.0,22943,9.0,5,,,0,9265,8974.0,755.0,1,6.0,6159875.1
84091,50,0,1.0,72.0,22718,7.0,5,1993.0,,0,2668,4669.0,766.0,0,,8414104.3
77579,69,1,1.0,97.0,88798,6.0,1,1999.0,1.0,0,4850,5648.0,144.0,1,,7767797.9
25204,31,1,1.0,37.0,87552,4.0,10,2020.0,1.0,0,6560,4287.0,116.0,0,6.0,2530488.0
42059,46,0,1.0,62.0,43289,,3,2017.0,1.0,1,8827,,860.0,1,3.0,4212125.7
38430,43,0,1.0,51.0,3406,6.0,4,,0.0,1,1214,606.0,289.0,0,8.0,3846214.1
7069,4,0,0.0,89.0,55300,,2,2009.0,,1,7499,8969.0,493.0,1,,709107.9
34780,75,0,1.0,9.0,67297,4.0,5,2019.0,,1,3033,6475.0,800.0,1,4.0,3480536.9
12757,100,1,0.0,7.0,19550,7.0,8,,1.0,1,6795,9983.0,738.0,0,5.0,1277834.0
33749,74,0,1.0,38.0,73976,10.0,7,1999.0,,1,1729,7952.0,616.0,1,2.0,3380855.9
600,37,1,0.0,43.0,72736,,7,2011.0,1.0,0,6738,5603.0,866.0,0,1.0,63402.1
7239,61,1,0.0,83.0,26435,,7,1994.0,1.0,0,7782,2518.0,986.0,0,4.0,733776.4
34919,20,1,1.0,84.0,60113,,1,1997.0,,0,6566,628.0,408.0,0,2.0,3499532.7
25614,29,0,0.0,27.0,52970,4.0,1,,,0,700,377.0,519.0,1,9.0,2563970.4
51434,64,0,0.0,23.0,79754,,2,,1.0,1,2080,9575.0,753.0,0,,5146226.2
78960,55,0,1.0,76.0,23408,8.0,4,2015.0,1.0,1,7126,5012.0,974.0,1,,7900996.5
70751,64,1,1.0,41.0,92268,1.0,9,2006.0,,0,1506,,794.0,1,7.0,7084110.6
81870,60,0,1.0,100.0,58048,3.0,8,,,0,3632,5960.0,723.0,1,,8198185.0
91559,36,0,1.0,21.0,82521,6.0,2,,0.0,1,788,4788.0,132.0,1,8.0,9161130.7
72098,9,0,1.0,67.0,91168,,3,2014.0,,0,9080,9356.0,740.0,1,9.0,7216904.4
23177,19,0,0.0,52.0,69373,4.0,1,2003.0,0.0,0,2706,4593.0,648.0,1,6.0,2318776.3
39517,92,0,0.0,85.0,51212,,6,,0.0,1,7618,1172.0,810.0,1,9.0,3953491.9
55232,23,0,0.0,8.0,849,8.0,3,1991.0,0.0,0,1492,5697.0,625.0,0,,5524015.1
53735,49,0,1.0,92.0,2423,,7,,0.0,0,8654,9588.0,290.0,1,8.0,5384554.6
67753,72,1,1.0,78.0,31721,3.0,9,,1.0,1,7480,2068.0,929.0,0,6.0,6789580.5
1450,59,0,0.0,1.0,2317,10.0,9,2018.0,,1,1285,8119.0,869.0,1,10.0,146181.8
82141,93,1,1.0,61.0,74213,3.0,7,,1.0,1,8785,6602.0,968.0,1,4.0,8225970.9
17868,73,1,0.0,35.0,48674,,9,,0.0,0,1718,,710.0,1,2.0,1792308.3
71397,71,0,0.0,93.0,68199,,10,1995.0,1.0,1,3477,5530.0,342.0,0,,7145471.5
32623,35,0,1.0,14.0,80204,10.0,6,2003.0,1.0,0,4633,7551.0,126.0,0,,3267852.3
23841,71,1,1.0,25.0,32106,3.0,7,2010.0,1.0,1,7590,5224.0,564.0,1,1.0,2390804.0
16495,94,0,0.0,6.0,90448,3.0,10,1991.0,1.0,1,2214,1464.0,929.0,1,7.0,1650711.1
39109,24,1,0.0,67.0,74477,4.0,3,2002.0,1.0,0,1642,2925.0,139.0,0,9.0,3917652.2
65151,81,1,1.0,3.0,66191,7.0,9,1991.0,0.0,0,3218,9119.0,849.0,0,4.0,6522781.1
61484,91,1,0.0,,87015,8.0,8,,,0,5486,3641.0,766.0,0,,6154833.3
57160,15,1,1.0,43.0,40786,,8,2002.0,,0,4018,4871.0,836.0,1,2.0,5724102.2
13346,57,0,0.0,57.0,30010,6.0,8,2021.0,1.0,1,2525,545.0,809.0,0,8.0,1336414.1
27351,77,0,0.0,36.0,98465,4.0,1,1997.0,,1,1150,3100.0,812.0,1,0.0,2738851.7
18466,50,0,1.0,60.0,89670,5.0,2,2020.0,0.0,0,2475,1376.0,568.0,0,5.0,1849227.0
45441,29,1,0.0,66.0,21239,,5,2004.0,,1,8121,2996.0,853.0,0,6.0,4552319.4
55933,15,0,0.0,97.0,5800,9.0,8,2001.0,1.0,1,7369,6739.0,686.0,1,6.0,5599976.1
81936,68,0,0.0,92.0,6143,3.0,1,,1.0,0,6393,9082.0,734.0,0,,8198107.1
18237,70,1,0.0,,25093,,6,2011.0,0.0,0,7173,9144.0,498.0,1,9.0,1833338.1
35631,54,1,0.0,7.0,77355,10.0,6,2018.0,1.0,1,216,1339.0,775.0,1,,3568002.8
99683,12,1,0.0,77.0,18300,5.0,8,2002.0,0.0,1,4034,,787.0,1,6.0,9977000.2
47664,44,0,0.0,77.0,98008,,3,,,1,2662,5433.0,417.0,0,6.0,4770073.0
62887,45,0,1.0,7.0,91125,,3,1993.0,,0,292,744.0,675.0,0,4.0,6293710.3
18470,20,1,1.0,73.0,9406,3.0,1,2000.0,1.0,0,4089,9245.0,905.0,1,,1852115.0
36031,63,1,0.0,,74698,9.0,8,2001.0,0.0,1,9701,1325.0,514.0,0,4.0,3612495.1
22776,84,0,0.0,5.0,82401,9.0,9,,0.0,1,2422,1918.0,544.0,1,7.0,2278599.3
14830,81,1,0.0,1.0,17641,1.0,10,1992.0,1.0,0,6151,,243.0,0,,1487488.2
43944,40,1,0.0,69.0,5581,10.0,5,2012.0,0.0,1,7466,6556.0,735.0,1,6.0,4403326.2
73062,34,1,1.0,38.0,44770,4.0,8,2016.0,0.0,0,9823,7174.0,728.0,1,0.0,7313447.6
84284,76,0,0.0,39.0,55723,,1,1998.0,0.0,0,4500,4877.0,480.0,0,6.0,8432554.8
9619,66,1,0.0,91.0,82543,9.0,5,1991.0,0.0,1,1069,3823.0,927.0,0,,969806.1
11410,96,0,1.0,96.0,85454,8.0,3,2019.0,0.0,1,1466,3642.0,933.0,1,1.0,1150663.9
29855,63,0,0.0,23.0,78080,5.0,5,,0.0,1,3861,7495.0,204.0,0,6.0,2987645.0
46716,94,0,0.0,58.0,25303,8.0,5,2008.0,,1,1361,6855.0,409.0,0,3.0,4674140.8
77046,69,1,0.0,85.0,43517,,2,,0.0,1,8135,1401.0,648.0,0,,7714235.2
58855,1,0,0.0,66.0,20127,3.0,7,2004.0,0.0,1,2267,3070.0,531.0,0,3.0,5892518.4
69165,66,1,0.0,74.0,51371,4.0,4,2009.0,1.0,1,1543,9736.0,939.0,1,,6926290.9
57915,25,0,1.0,84.0,87517,,4,2007.0,,1,3394,4287.0,640.0,0,5.0,5800324.7
66279,47,1,0.0,9.0,21934,,2,2003.0,,1,5079,3156.0,128.0,0,10.0,6631365.3
16068,21,1,0.0,13.0,21716,8.0,8,1991.0,,1,8893,2564.0,463.0,0,,1611707.1
74325,50,1,1.0,58.0,91978,8.0,10,,0.0,1,4008,1952.0,275.0,0,5.0,7443433.4
35742,46,1,1.0,47.0,84138,7.0,1,,,1,1732,6019.0,243.0,0,7.0,3581003.4
9026,51,1,0.0,28.0,85842,1.0,5,2000.0,,0,779,9037.0,482.0,0,10.0,904797.0
16899,19,0,1.0,14.0,47328,2.0,4,2020.0,0.0,1,5710,907.0,302.0,1,7.0,1693690.0
99854,82,0,0.0,64.0,82741,3.0,8,,0.0,1,4827,2626.0,918.0,0,7.0,9989598.9
33743,56,1,1.0,29.0,21945,10.0,8,,,1,7330,3012.0,345.0,0,,3382812.6
72798,22,1,1.0,30.0,61212,,3,2007.0,0.0,0,2209,2120.0,637.0,0,7.0,7290431.7
86492,21,0,0.0,86.0,42450,,7,,1.0,0,7843,5348.0,463.0,0,0.0,8654049.2
38937,35,0,1.0,77.0,2867,2.0,6,2013.0,,1,1312,1272.0,794.0,0,1.0,3901433.3
24762,22,0,1.0,62.0,50367,10.0,10,1999.0,,1,5264,3986.0,502.0,1,,2480900.9
91047,45,0,0.0,65.0,41065,8.0,2,1999.0,0.0,0,7241,1060.0,757.0,1,1.0,9109264.9
55527,64,0,1.0,44.0,61931,4.0,2,2005.0,0.0,1,9385,9507.0,786.0,1,,5557814.5
70606,17,1,1.0,79.0,38,,3,2017.0,1.0,0,4927,1285.0,197.0,0,,7070662.7
67327,47,0,0.0,87.0,26709,9.0,3,1990.0,0.0,1,1097,8551.0,964.0,0,,6741466.0
6125,90,0,1.0,29.0,95979,,2,2012.0,,1,6423,7934.0,846.0,0,10.0,615143.2
71833,37,0,1.0,51.0,58147,,5,2013.0,0.0,0,3772,2045.0,580.0,1,6.0,7185318.3
20811,98,1,1.0,71.0,91543,1.0,4,,,1,112,53.0,586.0,0,3.0,2090690.5
7643,98,0,0.0,63.0,5989,2.0,3,,,0,2142,7748.0,983.0,1,7.0,765618.9
16669,95,1,1.0,,15949,,3,2007.0,0.0,1,6109,1409.0,239.0,1,,1676719.7
84006,73,1,1.0,97.0,54296,4.0,7,,1.0,0,9698,6310.0,837.0,0,,8409827.0
34059,49,0,0.0,90.0,63489,4.0,8,1993.0,0.0,1,4138,5337.0,347.0,0,2.0,3412619.3
36131,95,0,0.0,88.0,72385,8.0,8,1991.0,,0,1046,8463.0,331.0,0,8.0,3620939.1
8201,18,1,1.0,66.0,38920,7.0,2,2007.0,0.0,0,4949,5811.0,185.0,1,6.0,826967.7
38398,84,0,0.0,,44513,,8,1994.0,1.0,0,1618,9458.0,404.0,0,8.0,3842545.4
38833,10,0,0.0,14.0,28075,4.0,3,,1.0,1,1828,7626.0,462.0,1,8.0,3884619.4
41488,22,0,0.0,59.0,2019,,1,,,1,2090,4438.0,650.0,0,,4151539.3
5205,2,0,0.0,15.0,71289,7.0,3,,,0,8342,4705.0,742.0,0,0.0,521650.5
45066,28,0,0.0,62.0,85825,9.0,5,,,0,7092,6757.0,924.0,1,,4508367.3
63875,53,1,1.0,14.0,54408,7.0,3,,1.0,0,4139,7178.0,152.0,0,6.0,6394774.9
25052,88,0,0.0,94.0,1083,8.0,6,,0.0,1,718,6346.0,703.0,0,10.0,2515214.0
51457,64,0,1.0,32.0,68294,,10,,0.0,0,3016,1891.0,633.0,1,4.0,5150600.6
84396,64,0,0.0,96.0,88421,,7,2015.0,1.0,1,7416,6190.0,593.0,1,2.0,8449333.5
64920,98,0,1.0,63.0,1173,8.0,8,2016.0,,0,2287,,426.0,1,,6501809.6
9166,4,1,0.0,16.0,26610,4.0,1,2015.0,1.0,1,6838,9438.0,842.0,1,,922847.5
85558,48,1,0.0,83.0,55318,2.0,9,,0.0,1,7997,655.0,374.0,1,0.0,8568781.7
87267,75,1,0.0,81.0,57714,,10,2019.0,0.0,0,6899,1628.0,666.0,1,4.0,8731940.9
96091,100,0,1.0,24.0,99874,10.0,3,1999.0,0.0,0,6546,4094.0,373.0,0,,9615021.9
38003,98,1,0.0,6.0,49191,8.0,10,2008.0,0.0,0,9981,6500.0,129.0,0,2.0,3803545.8
83120,97,0,1.0,68.0,93953,,6,,0.0,1,15,4581.0,481.0,0,1.0,8318749.5
20468,100,1,0.0,34.0,63924,6.0,4,2003.0,0.0,1,9659,6233.0,802.0,0,0.0,2049846.3
75152,91,1,0.0,37.0,61836,,3,2018.0,1.0,0,4717,5685.0,412.0,0,2.0,7518709.8
32688,9,1,1.0,18.0,86166,6.0,5,2013.0,0.0,1,9089,6967.0,398.0,1,7.0,3274057.3
45868,72,1,1.0,69.0,33082,,7,,1.0,1,7668,,216.0,0,,4600708.4
73900,69,0,1.0,36.0,57473,4.0,3,,0.0,0,9847,6227.0,140.0,1,4.0,7394635.8
16000,41,1,1.0,25.0,86898,9.0,4,2007.0,0.0,1,7228,764.0,138.0,0,6.0,1606948.7
1423,59,0,1.0,30.0,21687,,4,1993.0,1.0,1,3900,1985.0,879.0,0,8.0,149234.3
29951,37,1,1.0,13.0,56604,6.0,8,1995.0,,1,5692,9582.0,762.0,0,0.0,3002371.5
40231,84,0,1.0,41.0,64474,4.0,5,,0.0,0,5700,303.0,758.0,1,0.0,4030226.9
59517,38,1,0.0,69.0,93928,8.0,8,2003.0,1.0,0,6831,2741.0,727.0,1,6.0,5958698.3
98969,26,1,0.0,69.0,36941,10.0,8,,,0,3744,5809.0,992.0,1,5.0,9902968.3
99177,49,0,0.0,,5100,6.0,10,,1.0,1,6326,6738.0,429.0,1,3.0,9919217.1
89157,46,0,0.0,42.0,34482,3.0,6,2009.0,0.0,1,3510,781.0,290.0,1,4.0,8920282.9
67429,60,0,1.0,24.0,89820,8.0,7,1991.0,1.0,0,3578,3600.0,858.0,1,1.0,6749654.1
38431,57,1,0.0,60.0,69199,9.0,3,2020.0,1.0,0,4121,3307.0,374.0,0,,3848467.0
72495,76,1,1.0,59.0,8723,,10,1994.0,1.0,0,3413,2245.0,254.0,1,0.0,7259025.4
85362,77,1,0.0,19.0,40604,6.0,5,1997.0,0.0,0,7728,8516.0,186.0,1,,8541211.7
28597,93,0,0.0,47.0,16237,3.0,9,1990.0,0.0,0,4492,270.0,714.0,0,,2863386.0
13687,36,1,1.0,93.0,2400,3.0,5,2001.0,1.0,1,4148,6383.0,590.0,0,,1376329.1
50479,3,0,1.0,73.0,39939,5.0,9,2020.0,0.0,0,4149,6785.0,188.0,0,5.0,5057657.0
98121,38,0,1.0,57.0,20289,,4,,0.0,1,6028,8690.0,275.0,0,2.0,9817494.5
57736,16,0,0.0,21.0,83855,9.0,6,1999.0,0.0,1,6099,1511.0,588.0,0,2.0,5775940.9
30356,40,0,0.0,85.0,13378,7.0,1,,,0,7660,,551.0,0,8.0,3039209.2
21141,38,0,1.0,80.0,65184,10.0,3,1998.0,1.0,1,169,8853.0,697.0,1,10.0,2126023.8
98122,34,0,0.0,7.0,80176,,4,2009.0,,1,7125,7272.0,186.0,1,5.0,9813433.9
34746,12,1,0.0,15.0,57668,10.0,5,2000.0,0.0,0,2840,3137.0,377.0,0,,3478332.0
17297,43,1,1.0,19.0,99289,7.0,5,2012.0,,1,3216,5586.0,243.0,1,2.0,1738971.2
80324,47,1,1.0,7.0,20394,3.0,2,,1.0,1,325,3203.0,109.0,0,,8039714.3
15815,13,1,1.0,2.0,2179,7.0,1,2019.0,1.0,0,637,7880.0,552.0,0,,1585031.9
1066,5,1,1.0,46.0,65388,4.0,9,2017.0,,1,2723,9228.0,524.0,1,5.0,114605.7
79275,95,0,1.0,67.0,13000,5.0,9,1995.0,0.0,1,3689,7215.0,132.0,1,,7930383.5
20658,7,1,1.0,48.0,80216,4.0,10,1997.0,0.0,0,8080,9560.0,341.0,1,10.0,2076936.7
8687,88,0,1.0,64.0,2052,3.0,6,1993.0,1.0,1,7414,6075.0,710.0,1,3.0,877525.3
69638,42,1,1.0,63.0,89878,,2,1991.0,1.0,0,4703,7032.0,937.0,1,,6977654.1
94036,18,0,0.0,19.0,79418,10.0,9,,1.0,1,5913,178.0,986.0,0,10.0,9406163.1
60889,72,0,0.0,87.0,55928,6.0,8,2018.0,1.0,0,7437,4833.0,131.0,0,,6091341.8
11680,21,0,0.0,14.0,5324,10.0,1,1992.0,1.0,0,7478,6846.0,921.0,1,6.0,1169431.2
11458,96,1,1.0,31.0,95286,9.0,5,2010.0,,0,1365,3757.0,321.0,0,6.0,1154040.0
20397,67,0,0.0,79.0,29406,8.0,7,1997.0,0.0,0,705,,898.0,1,3.0,2042985.7
83206,34,1,0.0,51.0,27565,9.0,9,,,0,9170,9694.0,327.0,0,9.0,8326302.9
8951,11,1,0.0,63.0,32412,1.0,10,,1.0,0,6189,2892.0,626.0,0,,904889.7
22854,41,1,0.0,89.0,74420,4.0,7,,0.0,1,6216,521.0,481.0,1,0.0,2292467.1
46042,52,0,0.0,74.0,45861,,8,,1.0,0,65,9506.0,946.0,0,5.0,4605791.5
93506,20,1,0.0,28.0,7068,,9,,1.0,0,5297,1410.0,306.0,1,,9356982.7
58748,76,0,0.0,,20761,,5,2010.0,,1,1627,996.0,639.0,0,2.0,5875981.0
715,71,0,0.0,23.0,33439,7.0,3,,0.0,1,8609,3736.0,740.0,1,8.0,74252.0
55327,22,1,0.0,59.0,76622,1.0,2,1993.0,1.0,1,7163,9333.0,504.0,1,8.0,5540589.3
63631,84,1,0.0,12.0,31269,,10,,0.0,0,239,1952.0,411.0,1,4.0,6369055.0
77915,99,0,0.0,21.0,63942,5.0,10,2018.0,,1,1081,9015.0,448.0,0,4.0,7793915.8
91804,5,0,0.0,81.0,87339,3.0,9,1999.0,0.0,1,8554,1275.0,930.0,1,,9182083.9
57295,95,0,0.0,69.0,32081,2.0,2,,,1,9771,9634.0,951.0,1,7.0,5731510.4
61057,65,1,0.0,77.0,17051,9.0,8,1998.0,1.0,0,9762,545.0,369.0,1,,6114671.8
91626,83,1,0.0,55.0,59173,4.0,5,1991.0,1.0,1,2684,784.0,101.0,1,8.0,9169068.1
29356,96,1,1.0,46.0,4864,4.0,9,1990.0,1.0,1,1780,393.0,413.0,1,3.0,2948071.0
27134,62,1,0.0,2.0,1498,7.0,7,,0.0,0,3718,9140.0,357.0,1,3.0,2715604.3
1682,65,1,0.0,79.0,7602,,3,2017.0,0.0,1,2590,,659.0,1,4.0,174918.7
98868,41,0,1.0,67.0,85917,7.0,3,,1.0,1,2146,1077.0,623.0,1,,9892300.1
23898,62,1,0.0,93.0,73176,,9,,,1,8256,4656.0,136.0,0,1.0,2399286.6
83110,43,1,0.0,75.0,55046,7.0,10,,1.0,0,4108,5663.0,380.0,1,,8321631.1
71154,67,0,1.0,53.0,8762,2.0,6,2021.0,1.0,1,8418,7187.0,706.0,0,8.0,7122699.1
90841,48,1,0.0,15.0,25300,6.0,5,,0.0,0,3333,149.0,842.0,0,9.0,9086177.3
68416,87,1,0.0,48.0,60979,,7,2010.0,0.0,0,1811,6776.0,424.0,0,6.0,6846709.0
47585,95,0,0.0,5.0,81532,5.0,1,1993.0,1.0,1,5101,89.0,639.0,0,0.0,4759724.3
28452,79,1,0.0,,79918,,10,,1.0,1,388,1889.0,566.0,1,2.0,2850377.6
15630,78,1,0.0,4.0,98750,7.0,3,1996.0,,0,7084,4158.0,225.0,1,0.0,1565985.6
65900,36,1,1.0,99.0,27819,,5,2017.0,0.0,1,2637,1038.0,452.0,0,,6605894.7
21600,94,1,0.0,56.0,85215,,8,2000.0,0.0,1,3129,6029.0,236.0,1,3.0,2166421.0
74704,31,0,0.0,22.0,93675,1.0,9,1992.0,1.0,0,7463,8866.0,347.0,0,,7472587.2
87291,78,1,1.0,42.0,5950,3.0,3,2017.0,0.0,1,6214,3127.0,596.0,1,2.0,8739254.7
96687,65,0,1.0,81.0,70871,,4,2012.0,0.0,1,2438,8183.0,695.0,1,6.0,9673884.2
60567,65,1,1.0,100.0,39919,7.0,6,,1.0,0,7010,7994.0,993.0,1,0.0,6071330.9
